Organization,category_list, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
claro-scientific,|Biotechnology|, Biotechnology ," 1,25,000 ",operating,USA,FL,Tampa,St. Petersburg,1,1/1/2006,2006-01,2006-Q1,2006,4/1/2010,4/1/2010,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clarus-systems,|Software|, Software ," 83,30,000 ",operating,USA,CA,SF Bay Area,Redwood City,2,1/1/2001,2001-01,2001-Q1,2001,5/1/2005,10/31/2006,0,8330000,0,0,0,0,0,0,0,0,0,0,0,0,3330000,0,0,0,0,0,0
classana,|Interest Graph|Social Media|Self Development|Search|Internet|Ediscovery|Education|, Interest Graph ,"26,500",operating,USA,OH,Toledo,Toledo,2,4/1/2012,2012-04,2012-Q2,2012,6/6/2012,11/1/2012,0,0,0,0,0,0,0,26500,0,0,0,0,0,0,0,0,0,0,0,0,0
classbug,|Payments|, Payments ,"12,000",operating,USA,IL,Chicago,Chicago,1,3/1/2013,2013-03,2013-Q1,2013,3/15/2012,3/15/2012,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classdojo,|Kids|Education|, Kids ," 1,01,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,6/1/2011,2011-06,2011-Q2,2011,9/23/2011,4/2/2013,1600000,8500000,0,0,0,0,0,0,0,0,0,0,0,8500000,0,0,0,0,0,0,0
classiphix,|Classifieds|E-Commerce|, Classifieds ,"15,000",closed,USA,OH,Toledo,Toledo,1,9/19/2009,2009-09,2009-Q3,2009,1/1/2011,1/1/2011,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classlink,|Software|, Software ," 30,00,000 ",operating,USA,NJ,Newark,Clifton,1,1/1/1998,1998-01,1998-Q1,1998,8/1/2005,8/1/2005,0,3000000,0,0,0,0,0,0,0,0,0,0,0,3000000,0,0,0,0,0,0,0
classowl-inc,|Apps|All Students|Education|Teachers|, All Students ," 9,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,6/1/2013,2013-06,2013-Q2,2013,6/1/2013,7/22/2014,850000,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classpass,|Health and Wellness|, Health and Wellness ," 1,40,00,000 ",operating,USA,NY,New York City,New York,3,6/1/2013,2013-06,2013-Q2,2013,3/1/2012,9/17/2014,2000000,12000000,0,0,0,0,0,0,0,0,0,0,0,12000000,0,0,0,0,0,0,0
classwallet,|Software|Finance|Education|, Finance ," 18,35,000 ",operating,USA,FL,Miami,Miami,3,9/1/2014,2014-09,2014-Q3,2014,8/6/2013,3/5/2014,1200000,635000,0,0,0,0,0,0,0,0,0,0,0,635000,0,0,0,0,0,0,0
clay-io,|Mobile|Messaging|Web Development|Games|, Mobile ," 5,50,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,1/1/2012,2012-01,2012-Q1,2012,9/26/2014,9/26/2014,550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claytonstress-com,|Health and Wellness|Curated Web|, Health and Wellness ,"75,000",operating,USA,MO,St. Louis,Saint Louis,1,6/15/2007,2007-06,2007-Q2,2007,11/18/2010,11/18/2010,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean-engines,|Manufacturing|, Manufacturing ,"85,000",operating,USA,CO,Fort Collins,Fort Collins,1,1/1/2010,2010-01,2010-Q1,2010,2/4/2011,2/4/2011,0,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean-filtration-technology,|Clean Technology|, Clean Technology ," 55,50,000 ",operating,USA,CA,SF Bay Area,Saratoga,2,1/1/2006,2006-01,2006-Q1,2006,1/20/2010,6/7/2010,0,5550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean-plates,|iPhone|Mobile|Restaurants|Email Newsletters|Email|Sustainability|Health and Wellness|Organic|News|, News ," 7,00,000 ",operating,USA,NY,New York City,New York,1,7/1/2011,2011-07,2011-Q3,2011,7/1/2011,7/1/2011,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean-power-finance,|Clean Technology|, Clean Technology ," 6,56,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,1/1/2007,2007-01,2007-Q1,2007,1/6/2010,9/1/2014,0,65600000,0,0,0,0,0,0,0,0,0,0,0,3600000,25000000,37000000,0,0,0,0,0
clean-wave-technologies,|Electric Vehicles|Energy Management|, Electric Vehicles ," 1,06,12,152 ",operating,USA,CA,SF Bay Area,Mountain View,2,1/1/2008,2008-01,2008-Q1,2008,9/18/2009,1/29/2014,0,8762152,0,0,0,1850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleanapp,|Environmental Innovation|Mobile|, Environmental Innovation ,"5,300",closed,USA,TN,Memphis,Memphis,1,2/5/2013,2013-02,2013-Q1,2013,4/22/2013,4/22/2013,5300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleanedison,|Internet|Environmental Innovation|Green|Sustainability|High Schools|Employment|Education|Clean Technology|Curated Web|, Education ," 6,00,000 ",operating,USA,NY,New York City,New York,1,1/1/2008,2008-01,2008-Q1,2008,10/1/2011,10/1/2011,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleanscapes,|Clean Technology|, Clean Technology ," 16,00,000 ",operating,USA,WA,Seattle,Seattle,1,10/1/1997,1997-10,1997-Q4,1997,10/16/2008,10/16/2008,0,1600000,0,0,0,0,0,0,0,0,0,0,0,1600000,0,0,0,0,0,0,0
clearme,|Travel|, Travel ," 11,64,00,000 ",operating,USA,NY,New York City,New York,3,1/1/2003,2003-01,2003-Q1,2003,1/1/2006,8/19/2008,0,116400000,0,0,0,0,0,0,0,0,0,0,0,0,0,56000000,44400000,0,0,0,0
clear-advantage-collar,|Biotechnology|, Biotechnology ," 3,60,000 ",operating,USA,MN,Minneapolis,Eagan,1,1/1/2009,2009-01,2009-Q1,2009,9/20/2011,9/20/2011,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clear-image-technology,|Biotechnology|, Biotechnology ," 5,00,000 ",operating,USA,OH,Cleveland,Elyria,1,1/1/2002,2002-01,2002-Q1,2002,8/20/2012,8/20/2012,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clear-shape-technologies,|Software|, Software ," 50,00,000 ",operating,USA,CA,SF Bay Area,Santa Clara,1,1/1/2003,2003-01,2003-Q1,2003,6/9/2005,6/9/2005,0,5000000,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0
clear-vascular,|Biotechnology|, Biotechnology ," 70,82,422 ",operating,USA,TX,Houston,Houston,3,1/1/2005,2005-01,2005-Q1,2005,9/2/2009,5/30/2013,0,5423014,0,0,1350000,309408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clearapp,|Enterprise Software|, Enterprise Software ," 1,42,00,000 ",acquired,USA,CA,SF Bay Area,Mountain View,1,1/1/2002,2002-01,2002-Q1,2002,6/14/2006,6/14/2006,0,14200000,0,0,0,0,0,0,0,0,0,0,0,0,14200000,0,0,0,0,0,0
clearcare-online,|Health Care Information Technology|SaaS|Software|, Health Care Information Technology ," 1,55,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,1/1/2010,2010-01,2010-Q1,2010,10/1/2012,6/18/2014,0,15500000,0,0,0,0,0,0,0,0,0,0,0,4500000,11000000,0,0,0,0,0,0
clearchoice-holdings,|Medical Professionals|Health and Wellness|, Medical Professionals ," 6,08,29,111 ",operating,USA,CO,Denver,Greenwood Village,3,1/1/2005,2005-01,2005-Q1,2005,4/25/2009,10/21/2013,0,60829111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clearcontext,|Email|Software|, Email ," 5,00,000 ",operating,USA,CO,Denver,Englewood,1,1/1/2003,2003-01,2003-Q1,2003,1/1/2003,1/1/2003,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleardata-networks,|Data Visualization|Data Integration|Cloud Data Services|Big Data|Data Security|Information Security|Cloud Infrastructure|Cloud Computing|, Cloud Infrastructure ," 1,72,00,000 ",operating,USA,AZ,Phoenix,Tempe,3,1/1/1999,1999-01,1999-Q1,1999,3/14/2012,12/5/2013,0,17200000,0,0,0,0,0,0,0,0,0,0,0,3200000,14000000,0,0,0,0,0,0
clearedge-power,|Renewable Energies|Energy|Clean Technology|, Energy ," 14,43,00,000 ",operating,USA,OR,"Portland, Oregon",Hillsboro,7,1/1/2003,2003-01,2003-Q1,2003,8/28/2009,3/19/2014,0,105500000,0,0,0,0,0,2800000,36000000,0,0,0,0,0,0,0,0,73500000,0,0,0
clearfit,|Curated Web|, Curated Web ," 86,65,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,10/1/2007,2007-10,2007-Q4,2007,1/1/2012,3/21/2013,0,7000000,0,0,0,0,1665000,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0
clearflow,|Health Care|, Health Care ," 1,79,70,587 ",operating,USA,OR,Eugene,Bend,7,1/1/2007,2007-01,2007-Q1,2007,11/18/2009,11/18/2014,0,15038087,0,0,0,2932500,0,0,0,0,0,0,0,4000000,0,4900000,0,0,0,0,0
clearfuels-technology,|Clean Technology|, Clean Technology ," 2,30,00,000 ",operating,USA,HI,Honolulu,Aiea,1,1/1/1998,1998-01,1998-Q1,1998,12/7/2009,12/7/2009,0,0,0,0,0,0,0,23000000,0,0,0,0,0,0,0,0,0,0,0,0,0
clearleap,|Television|Software|, Television ," 4,05,50,000 ",operating,USA,GA,Atlanta,Duluth,7,7/1/2007,2007-07,2007-Q3,2007,3/1/2008,11/13/2013,0,36750000,0,0,0,3800000,0,0,0,0,0,0,0,9000000,5000000,20000000,0,0,0,0,0
clearmomentum,|Software|, Software ," 10,00,000 ",operating,USA,NY,"Rochester, New York",Canandaigua,1,1/1/2005,2005-01,2005-Q1,2005,11/10/2009,11/10/2009,0,1000000,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0
clearpoint-learning-systems,|Software|, Software ," 69,00,000 ",operating,USA,NJ,Newark,Hoboken,2,1/1/2001,2001-01,2001-Q1,2001,12/14/2009,7/2/2012,500000,6400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clearpoint-metrics,|Software|, Software ," 38,00,000 ",acquired,USA,MA,Boston,Burlington,2,1/1/1999,1999-01,1999-Q1,1999,12/28/2005,12/30/2009,0,3500000,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clearsaileing,|Advertising|, Advertising ," 17,76,763 ",acquired,USA,OH,"Columbus, Ohio",Columbus,2,1/1/2006,2006-01,2006-Q1,2006,6/19/2006,12/21/2009,0,1776763,0,0,0,0,0,0,0,0,0,0,0,0,0,1776763,0,0,0,0,0
clearside-biomedical,|Biotechnology|, Biotechnology ," 3,38,99,987 ",operating,USA,GA,Atlanta,Alpharetta,4,1/1/2011,2011-01,2011-Q1,2011,1/5/2012,9/2/2014,0,33899987,0,0,0,0,0,0,0,0,0,0,0,0,16000000,0,0,0,0,0,0
clearslide,|Business Services|Sales and Marketing|SaaS|Enterprise Software|, Business Services ," 8,90,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,10/7/2009,2009-10,2009-Q4,2009,7/1/2010,2/27/2014,0,89000000,0,0,0,0,0,0,0,0,0,0,0,11000000,28000000,50000000,0,0,0,0,0
clearstar,|Human Resources|, Human Resources ," 1,98,645 ",operating,USA,GA,Atlanta,Alpharetta,1,1/1/1995,1995-01,1995-Q1,1995,7/29/2014,7/29/2014,0,198645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clearstory-data,|Analytics|, Analytics ," 3,00,00,000 ",operating,USA,CA,SF Bay Area,Menlo Park,3,1/1/2011,2011-01,2011-Q1,2011,3/19/2012,3/31/2014,0,30000000,0,0,0,0,0,0,0,0,0,0,0,9000000,21000000,0,0,0,0,0,0
clearstream-tv,|Advertising|, Advertising ," 3,00,000 ",operating,USA,IL,Chicago,Chicago,2,1/1/2011,2011-01,2011-Q1,2011,12/8/2011,1/13/2014,0,200000,0,0,0,100000,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,0
clearview-audio,|Manufacturing|, Manufacturing ," 3,10,90,250 ",operating,USA,MA,Boston,Waltham,10,1/1/2005,2005-01,2005-Q1,2005,7/6/2006,11/6/2012,0,29590250,0,0,1500000,0,0,0,0,0,0,0,0,25590250,0,0,0,0,0,0,0
clearwell-systems,|Ediscovery|Enterprise Software|, Ediscovery ," 2,90,00,000 ",acquired,USA,CA,SF Bay Area,Mountain View,2,12/6/2004,2004-12,2004-Q4,2004,4/4/2006,8/22/2007,0,29000000,0,0,0,0,0,0,0,0,0,0,0,0,12000000,17000000,0,0,0,0,0
clearwire,|Internet|Mobile|, Internet ," 5,70,00,00,000 ",acquired,USA,WA,Seattle,Kirkland,4,10/1/2003,2003-10,2003-Q4,2003,5/6/2008,2/27/2013,0,0,0,0,0,0,0,0,80000000,4700000000,920000000,0,0,0,0,0,0,0,0,0,0
cleave-biosciences,|Biotechnology|, Biotechnology ," 5,40,00,000 ",operating,USA,CA,SF Bay Area,Burlingame,2,1/1/2010,2010-01,2010-Q1,2010,10/11/2011,4/9/2013,0,54000000,0,0,0,0,0,0,0,0,0,0,0,54000000,0,0,0,0,0,0,0
clef,|User Experience Design|Security|Mobile|, User Experience Design ," 30,20,673 ",operating,USA,CA,SF Bay Area,Oakland,2,1/1/2013,2013-01,2013-Q1,2013,11/13/2014,11/18/2014,1600000,0,0,0,1420673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleo-communications,|File Sharing|Software|, Software ," 35,00,000 ",operating,USA,IL,Rockford,Loves Park,1,1/1/1976,1976-01,1976-Q1,1976,5/16/2012,5/16/2012,0,3500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clevefoundation,|Local Businesses|, Local Businesses ," 1,53,00,000 ",operating,USA,OH,Cleveland,Cleveland,1,1/1/1914,1914-01,1914-Q1,1914,7/1/2013,7/1/2013,0,0,0,0,0,0,0,15300000,0,0,0,0,0,0,0,0,0,0,0,0,0
cleveland-biolabs,|Biotechnology|, Biotechnology ," 1,22,26,557 ",operating,USA,NY,Buffalo,Buffalo,3,1/1/2003,2003-01,2003-Q1,2003,4/6/2009,7/3/2014,0,12226557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3726557,0,0,0,0
clever,|Big Data|Data Integration|Education|, Big Data ," 1,33,20,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,1/1/2012,2012-01,2012-Q1,2012,6/1/2012,3/25/2014,3020000,10300000,0,0,0,0,0,0,0,0,0,0,0,10300000,0,0,0,0,0,0,0
clever-goats-media,|Education|, Education ,"25,000",operating,USA,NY,New York City,New York,1,1/1/2012,2012-01,2012-Q1,2012,2/6/2013,2/6/2013,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cellixis,|Curated Web|, Curated Web ," 20,00,000 ",acquired,USA,CA,SF Bay Area,Mountain View,2,4/11/2008,2008-04,2008-Q2,2008,6/17/2010,8/1/2011,0,2000000,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0
cleversafe,|Enterprise Software|, Enterprise Software ," 10,04,10,283 ",operating,USA,IL,Chicago,Chicago,4,1/1/2004,2004-01,2004-Q1,2004,11/11/2007,8/20/2013,0,100410283,0,0,0,0,0,0,0,0,0,0,0,0,0,36400000,55000000,0,0,0,0
clevex,|Health and Wellness|, Health and Wellness ," 8,50,002 ",closed,USA,OH,"Columbus, Ohio",Columbus,2,1/1/2003,2003-01,2003-Q1,2003,1/22/2007,3/23/2010,0,850002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
click-grow,|Hardware + Software|, Hardware + Software ," 20,76,178 ",operating,USA,CA,SF Bay Area,Palo Alto,2,11/20/2009,2009-11,2009-Q4,2009,3/1/2010,3/1/2012,0,1738053,0,0,0,0,338125,0,0,0,0,0,0,1738053,0,0,0,0,0,0,0
click-quote-save,|Lead Generation|Finance|, Lead Generation ," 5,00,000 ",operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,1,1/1/2012,2012-01,2012-Q1,2012,6/26/2013,6/26/2013,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
click-with-me-now,|Social Buying|SaaS|Collaboration|Curated Web|, Collaboration ," 38,00,000 ",operating,USA,MO,St. Louis,St Louis,4,11/1/2011,2011-11,2011-Q4,2011,1/1/2012,5/15/2014,800000,2250000,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
click4care,|Software|, Software ," 20,00,000 ",operating,USA,OH,"Columbus, Ohio",Powell,1,1/1/1999,1999-01,1999-Q1,1999,9/1/2009,9/1/2009,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
click4ride,|Software|, Software ,"50,000",operating,USA,NV,Las Vegas,Las Vegas,1,1/22/2011,2011-01,2011-Q1,2011,2/10/2011,2/10/2011,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clickability,|Content|SaaS|Enterprise Software|, Enterprise Software ," 1,15,00,000 ",acquired,USA,CA,SF Bay Area,San Francisco,2,1/1/1999,1999-01,1999-Q1,1999,2/4/2008,7/14/2008,0,8000000,0,0,0,3500000,0,0,0,0,0,0,0,0,0,8000000,0,0,0,0,0
clickable,|Search|Semantic Search|Advertising|, Search ," 3,25,00,000 ",acquired,USA,NY,New York City,New York,5,12/1/2006,2006-12,2006-Q4,2006,1/1/2006,10/17/2011,0,32500000,0,0,0,0,0,0,0,0,0,0,0,6000000,14500000,12000000,0,0,0,0,0
clickatell-inc,|Sales and Marketing|Social Media|SMS|Cloud Computing|Apps|Developer APIs|Mobile|Messaging|, Messaging ," 1,20,00,000 ",operating,USA,CA,SF Bay Area,Redwood City,1,1/1/2000,2000-01,2000-Q1,2000,2/28/2011,2/28/2011,0,12000000,0,0,0,0,0,0,0,0,0,0,0,0,12000000,0,0,0,0,0,0
clickequations,|Search Marketing|Advertising|, Search Marketing ," 30,00,000 ",acquired,USA,PA,Philadelphia,Conshohocken,1,1/3/2006,2006-01,2006-Q1,2006,8/28/2009,8/28/2009,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clicker,|Jewelry|Guides|Entertainment|Television|Video|Games|, Video ," 1,90,00,000 ",acquired,USA,CA,Los Angeles,Los Angeles,2,1/1/2009,2009-01,2009-Q1,2009,9/15/2009,2/18/2010,0,19000000,0,0,0,0,0,0,0,0,0,0,0,8000000,11000000,0,0,0,0,0,0
clickfacts,|Software|, Software ," 8,47,708 ",operating,USA,CA,SF Bay Area,San Francisco,3,1/1/2005,2005-01,2005-Q1,2005,8/1/2005,8/23/2010,0,0,0,0,0,847708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
click-fox,|Analytics|, Analytics ," 4,08,82,859 ",operating,USA,GA,Atlanta,Atlanta,5,1/1/2000,2000-01,2000-Q1,2000,4/11/2008,12/20/2012,0,30392602,0,0,0,490000,0,0,10000257,0,0,0,0,12500000,0,17892602,0,0,0,0,0
clickmedix,|Health and Wellness|, Health and Wellness ,"40,000",operating,USA,MD,"Washington, D.C.",Gaithersburg,1,1/1/2010,2010-01,2010-Q1,2010,8/23/2013,8/23/2013,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clickn-kids,|Education|, Education ," 2,12,000 ",operating,USA,NV,Reno - Sparks,Carson City,1,5/23/2003,2003-05,2003-Q2,2003,8/28/2009,8/28/2009,0,212000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clickpass,|Identity|Security|, Security ,"20,000",acquired,USA,CA,SF Bay Area,San Francisco,1,4/9/2007,2007-04,2007-Q2,2007,6/1/2007,6/1/2007,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clickshare-service,|Curated Web|, Curated Web ," 32,00,000 ",operating,USA,MA,Worcester,Amherst,1,1/1/1994,1994-01,1994-Q1,1994,1/1/2008,1/1/2008,3200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clickshift,|Software|, Software ," 60,00,000 ",acquired,USA,CA,SF Bay Area,San Bruno,1,1/1/2005,2005-01,2005-Q1,2005,6/19/2006,6/19/2006,0,6000000,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0
clicksquared,|Software|, Software ," 5,67,10,000 ",acquired,USA,MA,Boston,Boston,3,1/1/1999,1999-01,1999-Q1,1999,9/5/2007,1/9/2012,0,56710000,0,0,0,0,0,0,0,0,0,0,0,36710000,11000000,0,0,0,0,0,0
clickst,|SaaS|Advertising Networks|Direct Marketing|E-Commerce|Analytics|, Direct Marketing ," 5,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,5/1/2010,2010-05,2010-Q2,2010,1/1/2008,1/1/2008,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clicktivated,|Mobile Commerce|Social Media Marketing|Advertising|Technology|, Technology ," 6,50,000 ",operating,USA,MI,Detroit,Detroit,1,10/1/2013,2013-10,2013-Q4,2013,11/20/2013,11/20/2013,650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clicktoshop,|Religion|E-Commerce|, E-Commerce ," 20,00,000 ",operating,USA,MN,Minneapolis,Saint Paul,1,4/1/2007,2007-04,2007-Q2,2007,11/1/2012,11/1/2012,0,2000000,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0
clientshow,|Apps|Fashion|Freelancers|Services|Collaboration|Real Time|Sales and Marketing|Creative|Design|SaaS|Advertising|, Services ," 7,50,000 ",operating,USA,CA,SF Bay Area,Scotts Valley,1,5/9/2008,2008-05,2008-Q2,2008,1/1/2009,1/1/2009,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clientsuccess,|Enterprise Software|SaaS|, SaaS ," 10,00,000 ",operating,USA,UT,Salt Lake City,Lehi,2,2/18/2014,2014-02,2014-Q1,2014,2/18/2014,10/1/2014,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clikhome,|Online Rental|E-Commerce|Real Estate|, Online Rental ,"20,000",operating,USA,IA,Cedar Rapids,Cedar Rapids,1,5/13/2013,2013-05,2013-Q2,2013,8/4/2014,8/4/2014,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clikthrough,|Music|Media|Video|Analytics|Software|, Video ," 20,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,7/1/2007,2007-07,2007-Q3,2007,1/1/2007,7/16/2009,0,1000000,0,0,0,0,1000000,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0
climateminder,|Agriculture|Wireless|Mobile|, Wireless ," 7,63,000 ",operating,USA,CA,Los Angeles,Glendale,4,1/1/2005,2005-01,2005-Q1,2005,9/1/2009,10/24/2012,0,380000,0,0,0,383000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
climber-com,|Recruiting|Social Recruiting|Social Media|, Social Recruiting ," 30,00,000 ",operating,USA,CA,San Diego,San Diego,1,12/1/2005,2005-12,2005-Q4,2005,12/1/2005,12/1/2005,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clinical-ink,|Health and Wellness|, Health and Wellness ," 43,00,000 ",operating,USA,NC,Winston-Salem,Winston Salem,1,1/1/2006,2006-01,2006-Q1,2006,10/16/2013,10/16/2013,0,4300000,0,0,0,0,0,0,0,0,0,0,0,0,4300000,0,0,0,0,0,0
clinicast,|Software|, Software ," 1,00,000 ",operating,USA,CA,SF Bay Area,Millbrae,1,12/31/2011,2011-12,2011-Q4,2011,10/1/2012,10/1/2012,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clinician-therapeutics,|Medical|, Medical ,"25,000",operating,USA,NY,New York City,New York,1,10/1/2013,2013-10,2013-Q4,2013,8/1/2014,8/1/2014,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clinicient,|Software|, Software ," 2,41,85,166 ",operating,USA,OR,"Portland, Oregon",Portland,6,1/1/1998,1998-01,1998-Q1,1998,4/1/2009,3/4/2014,0,21685166,0,0,0,2500000,0,0,0,0,0,0,0,2050083,835000,15000000,0,0,0,0,0
clinipace-worldwide,|Clinical Trials|Medical Devices|Biotechnology|, Biotechnology ," 3,91,54,589 ",operating,USA,NC,Raleigh,Morrisville,6,1/1/2003,2003-01,2003-Q1,2003,5/9/2011,10/8/2014,0,24000000,0,0,0,15154589,0,0,0,0,0,0,0,0,0,24000000,0,0,0,0,0
cliniq-ly,|Health and Insurance|Hospitals|Health Care|Health and Wellness|, Health and Wellness ," 1,50,000 ",operating,USA,WA,Seattle,Seattle,1,7/1/2014,2014-07,2014-Q3,2014,7/7/2014,7/7/2014,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clinkle,|Payments|Finance|, Payments ," 3,05,15,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,1/1/2011,2011-01,2011-Q1,2011,1/1/2011,10/11/2013,5000000,25000000,0,0,0,500000,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0
clinovo,|Biotechnology|, Biotechnology ," 1,50,000 ",operating,USA,CA,SF Bay Area,Sunnyvale,1,1/1/2003,2003-01,2003-Q1,2003,3/3/2014,3/3/2014,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0
clinverse,|Software|, Software ," 1,56,00,000 ",operating,USA,NC,Raleigh,Raleigh,4,1/1/2008,2008-01,2008-Q1,2008,10/1/2009,8/19/2014,0,15100000,0,0,0,500000,0,0,0,0,0,0,0,2200000,3800000,9100000,0,0,0,0,0
clip-interactive,|Software|, Software ," 71,50,000 ",operating,USA,CO,Denver,Boulder,3,1/1/2012,2012-01,2012-Q1,2012,7/25/2012,2/14/2014,0,5000000,0,2150000,0,0,0,0,0,0,0,0,0,1600000,3400000,0,0,0,0,0,0
clipcard,|Analytics|Software|, Analytics ," 1,20,00,000 ",operating,USA,WA,Seattle,Seattle,2,1/1/2011,2011-01,2011-Q1,2011,3/28/2012,8/19/2014,2000000,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clipcopia,|Enterprise Software|, Enterprise Software ,"15,000",operating,USA,WA,Seattle,Seattle,1,7/19/2011,2011-07,2011-Q3,2011,7/19/2011,7/19/2011,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clipmarks,|Photography|, Photography ," 1,00,000 ",acquired,USA,NY,New York City,New York,1,1/2/2003,2003-01,2003-Q1,2003,9/28/2009,9/28/2009,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
